Date,ITSA4,GOAU4,EMBR3,PETR4,CPFE3
11/23/15,4.583943,1.778553,28.598738,7.495986,14.554773
11/24/15,4.601733,1.825855,28.685986,7.885628,14.589679
11/25/15,4.382316,1.873157,28.463013,7.328996,14.240447
11/26/15,4.465336,1.892077,28.453316,7.347551,14.423833
11/27/15,4.358597,1.873157,28.346678,7.050679,13.882445
11/30/15,4.299297,1.873157,29.471241,7.115621,13.742823
12/1/15,4.417168,1.816394,28.821709,6.94863,13.760278
12/2/15,4.339885,1.759632,29.083464,6.976462,13.376051
12/3/15,4.518232,1.797474,29.170712,7.403214,13.734053
12/4/15,4.470671,1.636647,29.034992,6.976462,13.655471
12/7/15,4.423113,1.570424,29.199797,6.670314,13.690376
12/8/15,4.393387,1.47582,29.005907,6.614651,13.314921
12/9/15,4.613358,1.494741,28.395151,7.097066,13.943573
12/10/15,4.61775,1.46636,28.773239,6.911522,13.664243
12/11/15,4.58745,1.371756,28.501789,6.725977,13.498309
12/14/15,4.448071,1.333915,28.307903,6.688869,13.463403
12/15/15,4.472312,1.352835,28.114014,6.88369,13.568208
12/16/15,4.442012,1.371756,28.569649,6.763086,13.760278
12/17/15,4.551092,1.381217,28.356371,6.679592,13.734053
12/18/15,4.332933,1.4569,27.532341,6.512602,13.227658
12/21/15,4.254147,1.437979,27.745617,6.160067,12.84352
12/22/15,4.272335,1.485281,28.415478,6.299226,13.1753
12/23/15,4.242033,1.570424,28.231026,6.429106,13.43718
12/28/15,4.229914,1.570424,27.803865,6.215731,13.271335
12/29/15,4.229914,1.560964,28.211609,6.206454,13.140306
12/30/15,4.169306,1.570424,29.308617,6.215731,13.253881
1/4/16,3.999628,1.513662,28.46402,6.373444,12.922102
1/5/16,4.066288,1.390677,28.46402,6.197176,13.096718
1/6/16,4.102647,1.21093,28.056276,5.937414,12.96569
1/7/16,4.042049,1.135247,27.444672,5.807534,12.441842
1/8/16,4.042049,1.182548,27.541754,5.81681,12.406937
1/11/16,3.993568,1.154167,27.434959,5.64982,12.450613
1/12/16,3.94509,1.116326,28.056276,5.130297,12.284678
1/13/16,3.957209,1.031182,27.425257,4.889089,12.441842
1/14/16,3.975388,1.059563,27.289341,5.278733,12.415617
1/15/16,3.908729,1.040643,26.211752,4.796318,12.363259
1/18/16,3.89055,1.040643,26.134081,4.453061,12.136287
1/19/16,3.848129,0.993341,26.619488,4.32318,12.284678
1/20/16,3.805703,0.97442,26.11467,4.109804,12.110063
1/21/16,3.817831,0.936578,26.299122,4.174745,12.29345
1/22/16,3.87843,0.936578,27.095181,4.09125,12.869655
1/26/16,3.93903,0.917658,26.541821,3.896428,12.590234
1/27/16,3.94509,0.936578,27.250505,4.239685,12.957007
1/28/16,4.029928,0.936578,26.143789,4.267517,13.594343
1/29/16,4.169306,0.97442,27.920368,4.49017,14.153184
2/1/16,4.193545,1.087945,27.891239,4.378843,14.397609
2/2/16,3.848129,1.097405,26.464157,3.989201,13.864992
2/3/16,4.048109,1.116326,26.609777,4.165467,14.065832
2/4/16,4.114767,1.22985,26.881603,4.38812,14.406382
2/5/16,4.108707,1.324454,27.085468,4.211854,14.493644
2/10/16,4.114767,1.409598,27.755331,3.998477,14.46751
2/11/16,4.023869,1.192009,26.697149,3.924259,13.969796
2/12/16,4.029928,1.22039,27.376715,4.128359,13.891214
2/15/16,4.035988,1.22985,27.541754,4.239685,13.734053
2/16/16,4.096589,1.324454,28.629057,4.119081,13.84754
2/17/16,4.114767,1.362296,28.629057,4.341734,14.502415
2/18/16,4.042049,1.296073,29.153292,4.25824,14.711937
2/19/16,4.074289,1.314994,28.502846,4.137636,14.380157
2/22/16,4.212185,1.343375,29.25037,4.675714,14.973904
2/23/16,4.205917,1.277152,28.64847,4.564387,14.502415
2/24/16,4.174578,1.22039,28.658178,4.518001,14.432516
2/25/16,4.205917,1.087945,29.318327,4.536555,14.860327
2/26/16,4.16831,1.087945,28.842632,4.518001,14.222996
2/29/16,4.274868,1.144707,29.318327,4.768485,14.580997
3/1/16,4.462332,1.182548,28.832922,4.926198,14.973904
3/2/16,4.531466,1.182548,28.250439,5.241624,14.624671
3/3/16,4.902282,1.362296,24.299265,6.095128,15.13975
3/4/16,5.097112,1.570424,22.396481,6.698145,15.436624
3/7/16,5.034262,1.636647,23.279913,6.837304,15.323136
3/8/16,5.210239,1.655568,22.959547,6.930076,15.523976
3/9/16,5.084542,1.769093,22.736263,7.050679,16.248661
3/10/16,5.273089,2.033983,21.318884,7.375382,16.449415
3/11/16,5.367369,1.94884,21.843126,7.505263,16.370831
3/14/16,5.329651,1.901538,21.872252,6.865135,16.126406
3/15/16,5.021695,1.542043,22.736263,6.132236,15.314366
3/16/16,4.895997,1.665028,22.736263,6.707423,15.864435
3/17/16,5.398794,1.854236,22.01787,7.514541,16.894678
3/18/16,5.392509,2.005602,22.085825,7.533095,16.894678
3/21/16,5.461642,1.9583,22.377066,7.477432,16.763741
3/22/16,5.266804,2.033983,22.795237,7.523818,16.746286
3/23/16,5.109682,1.863696,22.727161,7.21767,16.344698
3/24/16,5.109682,1.967761,23.009188,7.245501,16.990801
3/28/16,5.310797,2.081285,22.86331,7.829966,17.619364
3/29/16,5.367369,2.119127,23.398186,7.876352,17.724169
3/30/16,5.323375,2.308335,23.339834,7.829966,17.383709
3/31/16,5.13482,2.308335,23.19396,7.709362,17.436068
4/1/16,5.13482,2.374557,22.775787,7.755747,17.165417
4/4/16,4.96513,2.279953,22.50349,6.995017,16.720062
4/5/16,4.939991,2.261033,22.357615,7.236224,16.571669
4/6/16,4.808001,2.20427,21.706041,7.032126,16.222439
4/7/16,4.877142,2.100206,22.085316,7.143451,16.266115
4/8/16,5.166246,2.327255,21.57962,7.662976,16.632799
4/11/16,5.178816,2.365097,20.480701,7.783579,16.440731
4/12/16,5.417649,2.488082,20.500154,8.386597,16.973259
4/13/16,5.442789,2.819195,20.801626,8.804073,17.034388
4/14/16,5.329651,2.488082,21.219801,8.497925,16.720062
4/15/16,5.417649,2.69621,21.686598,8.989615,17.034388
4/18/16,5.373654,2.611067,21.657421,8.572143,16.842319
4/19/16,5.367369,2.743512,21.054476,8.915399,16.938354
4/20/16,5.260519,2.790814,21.297602,8.794797,16.851091
4/22/16,5.210239,2.771894,21.122549,9.04528,16.816189
4/25/16,5.153676,2.582686,20.762728,8.655638,16.798643
4/26/16,5.342223,2.629987,21.132278,8.971061,16.9209
4/27/16,5.474214,2.771894,21.365673,9.509141,17.724169
4/28/16,5.461642,2.715131,20.811348,9.490585,17.715487
4/29/16,5.442789,2.752973,20.004179,9.490585,17.331263
5/2/16,5.323375,2.667829,19.644361,9.434922,17.713457
5/3/16,5.033008,2.488082,19.692982,9.073111,17.713457
5/4/16,5.115967,2.592146,19.556837,9.202993,17.505384
5/5/16,5.060659,2.516463,19.372063,9.100944,17.550617
5/6/16,5.081403,2.573225,18.623243,9.351428,17.686317
5/9/16,5.150537,2.459701,18.89554,8.794797,17.405869
5/10/16,5.392509,2.535384,19.119211,9.472032,17.86725
5/11/16,5.357939,2.582686,18.652416,9.509141,17.822018
5/12/16,5.42016,2.535384,18.341223,9.082389,18.09342
5/13/16,5.295717,2.365097,18.146721,8.77624,17.876301
5/16/16,5.268067,2.185349,18.234243,9.04528,17.650131
5/17/16,5.102142,2.071825,18.16617,8.81335,17.233982
5/18/16,5.102142,2.052904,18.477367,8.646359,16.82688
5/19/16,5.129792,1.9583,18.574621,8.312381,16.7726
5/20/16,5.067571,2.005602,18.428743,8.256718,16.899252
5/23/16,5.081403,1.939379,18.438465,7.885628,16.555479
5/24/16,5.033008,1.892077,18.632963,7.91346,16.745461
5/25/16,5.026096,1.939379,18.52599,8.043342,16.419779
5/27/16,5.026096,1.873157,18.535717,7.635143,16.60976
5/30/16,5.019175,1.835315,18.136997,7.774303,16.582619
5/31/16,4.936217,1.825855,18.282869,7.458878,16.537386
6/1/16,5.044743,1.844776,18.234243,7.588758,16.763554
6/2/16,5.058601,1.901538,18.516268,7.71864,17.080187
6/3/16,5.093252,2.033983,18.185623,7.95057,17.324448
6/6/16,5.02395,2.100206,18.136997,7.848519,17.188747
6/7/16,5.114038,2.052904,18.409294,7.996954,17.197796
6/8/16,5.204118,2.19481,18.156446,8.711303,17.957718
6/9/16,5.23877,2.062364,17.932772,8.516479,17.767738
6/10/16,4.961583,1.939379,17.028353,8.145391,17.360636
6/13/16,5.010092,1.873157,17.320103,7.996954,17.849157
6/14/16,4.913083,1.816394,16.872755,7.700084,17.740599
6/15/16,4.906147,1.920459,16.901926,7.894905,17.713457
6/16/16,5.01702,1.892077,17.738276,7.885628,18.138651
6/17/16,4.947726,1.901538,17.465973,8.303103,18.274353
6/20/16,5.030878,1.892077,17.407625,8.516479,18.401007
6/21/16,4.982377,1.863696,17.885214,8.841181,18.826202
6/22/16,4.940798,1.910998,17.739014,8.664916,18.509567
6/23/16,5.120966,2.071825,18.050909,8.971061,18.500521
6/24/16,4.996235,1.939379,17.690281,8.58142,18.229118
6/27/16,4.84378,1.892077,17.358891,8.145391,18.048185
6/28/16,4.982377,1.892077,16.959278,8.535034,18.138651
6/29/16,5.100181,1.920459,17.076237,8.81335,18.681456
6/30/16,5.259556,1.892077,17.056744,8.739132,18.627176
7/1/16,5.308065,1.9583,17.202942,9.110221,18.600035
7/4/16,5.301136,1.996142,17.826735,9.156606,20.183208
7/5/16,5.23877,1.910998,17.261423,8.618527,20.04751
7/6/16,5.211047,1.9583,17.310158,8.81335,19.993227
7/7/16,5.252627,1.910998,17.212687,8.869014,20.355097
7/8/16,5.405081,1.929919,17.388136,9.128775,20.318909
7/11/16,5.412011,1.996142,17.261423,9.611189,20.318909
7/12/16,5.328851,2.138047,17.524588,9.880228,20.219395
7/13/16,5.453583,2.185349,17.417374,9.861675,20.427471
7/14/16,5.696118,2.213731,17.427116,10.139992,20.355097
7/15/16,5.668403,2.298874,16.969027,10.223485,20.454611
7/18/16,5.793137,2.45024,16.764345,10.715178,20.300817
7/19/16,5.827786,2.374557,16.939785,10.928554,20.436518
7/20/16,5.806993,2.317795,16.696115,10.965664,20.400328
7/21/16,5.751556,2.365097,16.657125,10.993495,20.409376
7/22/16,5.76542,2.459701,16.93004,11.07699,20.608406
7/25/16,5.737699,2.478621,16.881304,11.160484,20.499844
7/26/16,5.68226,2.516463,17.06649,11.021326,20.400328
7/27/16,5.772351,2.629987,17.046995,10.67807,20.337002
7/28/16,5.703055,2.582686,17.09573,10.613128,20.400328
7/29/16,5.793137,2.573225,14.454373,11.012049,20.662683
8/1/16,5.723843,2.658369,13.889063,10.436861,20.445562
8/2/16,5.758494,2.516463,14.006022,10.538911,20.427471
8/3/16,5.987162,2.70567,14.035263,11.039881,20.463659
8/4/16,6.00102,2.781354,14.220452,11.14193,20.545076
8/5/16,5.980234,2.894879,14.288677,10.80795,20.445562
8/8/16,5.938662,2.762433,14.542093,11.049156,20.355097
8/9/16,5.931726,2.819195,14.376398,11.021326,20.264629
8/10/16,5.855501,2.904339,14.395892,10.724457,20.264629
8/11/16,6.021813,3.017864,14.473866,11.225426,20.689825
8/12/16,6.028742,3.027324,14.63956,11.132653,20.653639
8/15/16,6.138977,3.405739,14.746775,11.420248,21.124065
8/16/16,6.075977,3.443581,14.620068,11.587234,21.006458
8/17/16,6.173972,3.708472,14.454373,11.83772,21.087879
8/18/16,6.201975,3.708472,14.395892,11.949047,21.078833
8/19/16,6.145975,3.784155,14.142478,11.865553,21.078833
8/22/16,5.977976,3.585487,13.655141,11.457355,20.934084
8/23/16,5.984973,3.66117,13.791595,11.754226,20.771244
8/24/16,5.963975,3.415199,14.015769,11.503741,20.84362
8/25/16,5.949977,3.42466,13.772103,11.624345,20.825523
8/26/16,6.005978,3.471962,13.781849,11.642899,20.762199
8/29/16,6.096974,3.500343,13.889063,11.939769,20.961226
8/30/16,6.110972,3.509804,13.937797,12.143868,20.897898
8/31/16,6.019976,3.509804,13.967036,11.921215,21.033598
9/1/16,6.0737,3.415199,14.132731,12.060372,21.305
9/2/16,6.157867,3.689551,14.698039,12.589175,21.630682
9/5/16,6.13683,3.708472,14.912468,12.830381,21.576403
9/6/16,6.185918,3.784155,15.448537,12.969539,21.721149
9/8/16,6.101758,3.944982,15.73119,13.192193,21.66687
9/9/16,5.821217,3.736853,15.351071,12.533512,21.549263
9/12/16,5.870311,3.926061,15.282845,12.941709,21.540216
9/13/16,5.842261,3.594947,15.468029,12.069653,21.440702
9/14/16,5.77914,3.566566,15.360817,12.162423,21.612587
9/15/16,5.912395,3.632788,15.380309,12.533512,21.712103
9/16/16,5.842261,3.528724,15.000187,12.20881,21.748289
9/19/16,5.856287,3.509804,14.58108,12.106759,21.85685
9/20/16,5.891349,3.311136,14.659052,12.524234,21.883991
9/21/16,5.926421,3.490883,14.522599,12.672669,22.001596
9/22/16,6.0176,3.415199,14.464119,12.988094,21.983503
9/23/16,5.968503,3.434121,14.766267,12.7005,21.983503
9/26/16,5.89837,3.348977,14.259439,12.431461,21.983503
9/27/16,5.982529,3.225992,14.054476,12.171699,21.947317
9/28/16,6.04565,3.348977,14.366797,12.848938,21.992552
