Date,ITSA4,GOAU4
5/3/16,5.033008,2.488082
5/4/16,5.115967,2.592146
5/5/16,5.060659,2.516463
5/6/16,5.081403,2.573225
5/9/16,5.150537,2.459701
5/10/16,5.392509,2.535384
5/11/16,5.357939,2.582686
5/12/16,5.42016,2.535384
5/13/16,5.295717,2.365097
5/16/16,5.268067,2.185349
5/17/16,5.102142,2.071825
5/18/16,5.102142,2.052904
5/19/16,5.129792,1.9583
5/20/16,5.067571,2.005602
5/23/16,5.081403,1.939379
5/24/16,5.033008,1.892077
5/25/16,5.026096,1.939379
5/27/16,5.026096,1.873157
5/30/16,5.019175,1.835315
5/31/16,4.936217,1.825855
6/1/16,5.044743,1.844776
6/2/16,5.058601,1.901538
6/3/16,5.093252,2.033983
6/6/16,5.02395,2.100206
6/7/16,5.114038,2.052904
6/8/16,5.204118,2.19481
6/9/16,5.23877,2.062364
6/10/16,4.961583,1.939379
6/13/16,5.010092,1.873157
6/14/16,4.913083,1.816394
6/15/16,4.906147,1.920459
6/16/16,5.01702,1.892077
6/17/16,4.947726,1.901538
6/20/16,5.030878,1.892077
6/21/16,4.982377,1.863696
6/22/16,4.940798,1.910998
6/23/16,5.120966,2.071825
6/24/16,4.996235,1.939379
6/27/16,4.84378,1.892077
6/28/16,4.982377,1.892077
6/29/16,5.100181,1.920459
6/30/16,5.259556,1.892077
7/1/16,5.308065,1.9583
7/4/16,5.301136,1.996142
7/5/16,5.23877,1.910998
7/6/16,5.211047,1.9583
7/7/16,5.252627,1.910998
7/8/16,5.405081,1.929919
7/11/16,5.412011,1.996142
7/12/16,5.328851,2.138047
7/13/16,5.453583,2.185349
7/14/16,5.696118,2.213731
7/15/16,5.668403,2.298874
7/18/16,5.793137,2.45024
7/19/16,5.827786,2.374557
7/20/16,5.806993,2.317795
7/21/16,5.751556,2.365097
7/22/16,5.76542,2.459701
7/25/16,5.737699,2.478621
7/26/16,5.68226,2.516463
7/27/16,5.772351,2.629987
7/28/16,5.703055,2.582686
7/29/16,5.793137,2.573225
8/1/16,5.723843,2.658369
8/2/16,5.758494,2.516463
8/3/16,5.987162,2.70567
8/4/16,6.00102,2.781354
8/5/16,5.980234,2.894879
8/8/16,5.938662,2.762433
8/9/16,5.931726,2.819195
8/10/16,5.855501,2.904339
8/11/16,6.021813,3.017864
8/12/16,6.028742,3.027324
8/15/16,6.138977,3.405739
8/16/16,6.075977,3.443581
8/17/16,6.173972,3.708472
8/18/16,6.201975,3.708472
8/19/16,6.145975,3.784155
8/22/16,5.977976,3.585487
8/23/16,5.984973,3.66117
8/24/16,5.963975,3.415199
8/25/16,5.949977,3.42466
8/26/16,6.005978,3.471962
8/29/16,6.096974,3.500343
8/30/16,6.110972,3.509804
8/31/16,6.019976,3.509804
9/1/16,6.0737,3.415199
9/2/16,6.157867,3.689551
9/5/16,6.13683,3.708472
9/6/16,6.185918,3.784155
9/8/16,6.101758,3.944982
9/9/16,5.821217,3.736853
9/12/16,5.870311,3.926061
9/13/16,5.842261,3.594947
9/14/16,5.77914,3.566566
9/15/16,5.912395,3.632788
9/16/16,5.842261,3.528724
9/19/16,5.856287,3.509804
9/20/16,5.891349,3.311136
9/21/16,5.926421,3.490883
9/22/16,6.0176,3.415199
9/23/16,5.968503,3.434121
9/26/16,5.89837,3.348977
9/27/16,5.982529,3.225992
9/28/16,6.04565,3.348977
9/29/16,5.870311,3.254373
9/30/16,5.849273,3.244913
10/3/16,5.954479,3.339517
10/4/16,5.870311,3.292215
10/5/16,5.947458,3.415199
10/6/16,6.04565,3.547645
10/7/16,6.115784,3.65171
10/10/16,6.206964,3.66117
10/11/16,6.143842,3.594947
10/13/16,6.143842,3.519264
10/14/16,6.242027,3.594947
10/17/16,6.298136,3.632788
10/18/16,6.382304,3.803076
10/19/16,6.34022,3.831457
10/20/16,6.368269,3.926061
10/21/16,6.319182,4.190951
10/24/16,6.284111,4.361239
10/25/16,6.199952,4.332857
10/26/16,6.213977,4.304477
10/27/16,6.347233,4.380159
10/28/16,6.361258,4.512604
10/31/16,6.620756,4.493684
11/1/16,6.473474,4.304477
11/3/16,6.347233,4.276095
11/4/16,6.473474,4.162571
11/7/16,6.627775,4.540986
11/8/16,6.662838,4.540986
11/9/16,6.522571,4.711273
11/10/16,6.185918,4.843718
11/11/16,6.0176,4.597748
11/14/16,6.010588,4.938323
11/16/16,6.206964,4.635589
11/17/16,6.059676,4.682892
11/18/16,6.157867,4.768035
11/21/16,6.220989,4.919401
11/22/16,6.220989,5.099149
11/23/16,6.108773,5.505946
11/24/16,6.059676,5.534327
11/25/16,6.031625,5.666771
11/28/16,6.087734,5.941123
11/29/16,5.968503,5.723535
11/30/16,6.038638,5.524867
12/1/16,5.741117,5.108609
12/2/16,5.762196,5.222133
12/5/16,5.734093,5.288357
12/6/16,5.860579,5.316738
12/7/16,5.874632,5.458643
12/8/16,5.867603,5.515406
12/9/16,5.902736,5.241054
12/12/16,5.670848,4.777496
12/13/16,5.698954,4.588288
12/14/16,5.663823,4.266635
12/15/16,5.663823,4.64505
12/16/16,5.635711,4.323398
12/19/16,5.537337,4.219332
12/20/16,5.593553,4.342318
12/21/16,5.593553,4.446381
12/22/16,5.635711,4.266635
12/23/16,5.771307,4.295016
12/26/16,5.844362,4.370699
12/27/16,5.822449,4.550447
12/28/16,5.902806,4.512604
12/29/16,6.048913,4.540986
1/2/17,5.997773,4.484223
1/3/17,6.260777,4.635589
1/4/17,6.2973,4.682892
1/5/17,6.355743,4.909942
1/6/17,6.33383,4.909942
1/9/17,6.399579,4.947783
1/10/17,6.355743,5.004545
1/11/17,6.399579,5.250515
1/12/17,6.574903,5.278896
1/13/17,6.509155,5.326198
1/16/17,6.509155,5.477564
1/17/17,6.64066,5.496485
1/18/17,6.60413,5.439722
1/19/17,6.596826,5.193752
1/20/17,6.669878,5.212674
1/23/17,6.837906,5.449183
1/24/17,6.757542,5.3735
1/26/17,6.786767,5.297817
1/27/17,6.779463,5.439722
1/30/17,6.699097,5.15591
1/31/17,6.779463,5.316738
2/1/17,6.808681,5.449183
2/2/17,6.801377,5.468103
2/3/17,6.932873,5.439722
2/6/17,6.830601,5.316738
2/7/17,6.92557,5.259975
2/8/17,6.984013,5.193752
2/9/17,7.035152,5.174831
2/10/17,7.100902,5.345119
2/13/17,7.086285,5.401882
2/14/17,7.057065,5.345119
2/15/17,7.327367,5.515406
2/16/17,7.305453,5.63839
2/17/17,7.422341,5.553247
2/20/17,7.524613,5.657311
2/21/17,7.712621,5.770836
2/22/17,7.750061,5.572168
2/23/17,7.652715,5.401882
2/24/17,7.51793,5.543787
3/1/17,7.492808,5.685693
3/2/17,7.402804,5.591089
3/3/17,7.492808,5.761376
3/6/17,7.552804,5.931663
3/7/17,7.440303,6.149251
3/8/17,7.297795,5.685693
3/9/17,7.230299,5.685693
3/10/17,7.260295,5.543787
3/13/17,7.365299,5.657311
3/14/17,7.282794,5.657311
3/15/17,7.470309,5.827599
3/16/17,7.470309,5.647851
3/17/17,7.3278,5.439722
3/20/17,7.312803,5.439722
3/21/17,7.057791,4.938323
3/22/17,7.237798,5.11807
3/23/17,7.177793,4.957242
3/24/17,7.245298,4.758575
3/27/17,7.312803,4.796416
3/28/17,7.260295,4.768035
3/29/17,7.3278,4.843718
3/30/17,7.237798,4.711273
3/31/17,7.125287,4.682892
4/3/17,7.185293,4.559907
4/4/17,7.282794,4.616669
4/5/17,7.200294,4.436922
4/6/17,7.10279,4.266635
4/7/17,7.140287,4.276095
4/10/17,7.170294,4.228793
4/11/17,7.200294,4.096349
4/12/17,7.162794,3.926061
4/13/17,6.982789,3.9166
4/17/17,7.170294,4.058506
4/18/17,7.230299,3.878758
4/19/17,7.11029,3.888219
4/20/17,7.050284,4.011204
4/24/17,7.222799,4.086887
4/25/17,7.237798,4.17203
4/26/17,7.215291,4.209872
4/27/17,7.305293,4.15311
4/28/17,7.417804,4.351779
5/2/17,7.560312,4.446381
5/3/17,7.485307,4.266635
5/4/17,7.312803,3.992283
5/5/17,7.515308,4.011204
5/8/17,7.500309,3.973362
5/9/17,7.522806,4.124729
5/10/17,7.57531,4.285556
5/11/17,7.702812,4.389619
5/12/17,7.725317,4.190951
5/15/17,7.725317,4.370699
5/16/17,7.702812,4.588288
5/17/17,7.552804,4.484223
5/18/17,6.825281,3.717932
5/19/17,6.870277,4.181492
5/22/17,6.675273,4.030125
5/23/17,6.757778,4.285556
5/24/17,6.757778,4.219332
5/25/17,6.600269,4.209872
5/26/17,6.727769,4.200412
5/29/17,6.727769,4.200412
5/30/17,6.772776,4.295016
5/31/17,6.71277,4.219332
6/1/17,6.574893,4.086887
6/2/17,6.612459,4.124729
6/5/17,6.582407,4.067967
6/6/17,6.672577,4.162571
6/7/17,6.785285,4.105808
6/8/17,6.732683,4.228793
6/9/17,6.619974,4.238254
6/12/17,6.619974,4.162571
6/13/17,6.665063,4.17203
6/14/17,6.732683,4.115268
6/15/17,6.732683,4.115268
6/16/17,6.770258,4.209872
6/19/17,6.777771,4.209872
6/20/17,6.604947,4.086887
6/21/17,6.567371,4.219332
6/22/17,6.582407,4.276095
6/23/17,6.514779,4.408541
6/26/17,6.687602,4.503145
6/27/17,6.559858,4.408541
6/28/17,6.619974,4.692353
6/29/17,6.710145,4.66397
6/30/17,6.777771,4.701812
7/3/17,6.777771,4.843718
7/4/17,6.770258,4.786956
7/5/17,6.837887,4.853179
7/6/17,6.747718,4.985624
7/7/17,6.740196,4.957242
7/10/17,6.800313,5.014006
7/11/17,6.897996,4.995085
7/12/17,6.913031,5.174831
7/13/17,6.93557,5.146451
7/14/17,6.920543,5.146451
7/17/17,6.897996,5.146451
7/18/17,6.958111,5.070767
7/19/17,6.897996,5.278896
7/20/17,6.928055,5.042386
7/21/17,6.913031,4.976164
7/24/17,6.913031,5.184292
7/25/17,6.973135,5.203214
7/26/17,6.890481,4.938323
7/27/17,6.943084,4.88156
7/28/17,6.943084,4.909942
7/31/17,6.950597,4.976164
8/1/17,7.176023,4.90048
8/2/17,7.25868,5.089689
8/3/17,7.243653,5.023465
8/4/17,7.221103,5.108609
8/7/17,7.378903,5.297817
8/8/17,7.386415,5.316738
8/9/17,7.356362,5.12753
8/10/17,7.303761,5.165371
8/11/17,7.341334,5.12753
8/14/17,7.446533,5.12753
