Date,ITSA4,GOAU4,EMBR3,TOTS3,CPFE3,MGLU3
10/13/15,4.578006,2.894879,24.876057,31.380379,13.402273,0.14687
10/14/15,4.471266,2.857037,24.313772,30.528421,12.96569,0.142863
10/15/15,4.453477,2.857037,25.118412,31.522459,13.140306,0.141809
10/16/15,4.376388,2.875958,25.641916,30.765146,12.834749,0.136327
10/19/15,4.459405,2.790814,25.641916,32.487938,13.044271,0.134429
10/20/15,4.400108,2.781354,25.593441,32.563725,13.332463,0.131793
10/21/15,4.394176,2.762433,25.738865,31.71176,13.393503,0.126522
10/22/15,4.459405,2.743512,26.107252,33.036983,13.864992,0.126522
10/23/15,4.429757,2.667829,26.378695,32.80983,13.498309,0.124835
10/26/15,4.364528,2.629987,25.767944,33.05595,13.402273,0.130739
10/27/15,4.328947,2.516463,26.999142,33.131641,13.472085,0.13601
10/28/15,4.299297,2.45024,26.97006,32.166149,13.463403,0.129474
10/29/15,4.234068,2.374557,27.183344,31.512974,13.314921,0.123991
10/30/15,4.269648,2.459701,27.416006,32.345974,13.524531,0.124413
11/3/15,4.453477,2.658369,28.521179,34.523155,14.039608,0.119457
11/4/15,4.483127,2.563765,27.435394,33.538696,14.3278,0.123991
11/5/15,4.554285,2.563765,27.697147,34.788235,14.057149,0.124307
11/6/15,4.447546,2.469161,27.251202,34.608418,13.864992,0.119352
11/9/15,4.358597,2.488082,26.902199,34.930218,13.463403,0.11661
11/10/15,4.358597,2.412399,26.902199,34.532639,13.742823,0.110706
11/11/15,4.453477,2.459701,26.960367,34.068764,13.969796,0.111339
11/12/15,4.477196,2.317795,26.553198,34.314976,14.144414,0.108597
11/13/15,4.388247,2.308335,27.512949,34.172909,14.275352,0.111761
11/16/15,4.417897,2.166429,27.958895,33.415684,14.057149,0.109652
11/17/15,4.483127,1.977221,27.842564,33.746971,14.057149,0.115872
11/18/15,4.524635,1.94884,27.861952,33.841621,14.572226,0.110706
11/19/15,4.595796,1.939379,28.259426,33.321037,14.397609,0.110601
11/23/15,4.583943,1.778553,28.598738,34.210835,14.554773,0.108914
11/24/15,4.601733,1.825855,28.685986,33.746971,14.589679,0.113026
11/25/15,4.382316,1.873157,28.463013,33.699646,14.240447,0.107754
11/26/15,4.465336,1.892077,28.453316,34.078251,14.423833,0.111444
11/27/15,4.358597,1.873157,28.346678,33.604988,13.882445,0.105435
11/30/15,4.299297,1.873157,29.471241,31.68331,13.742823,0.093098
12/1/15,4.417168,1.816394,28.821709,32.563725,13.760278,0.084348
12/2/15,4.339885,1.759632,29.083464,33.226292,13.376051,0.085191
12/3/15,4.518232,1.797474,29.170712,34.551609,13.734053,0.091411
12/4/15,4.470671,1.636647,29.034992,32.762508,13.655471,0.084453
12/7/15,4.423113,1.570424,29.199797,33.08432,13.690376,0.088459
12/8/15,4.393387,1.47582,29.005907,31.948387,13.314921,0.08382
12/9/15,4.613358,1.494741,28.395151,31.853741,13.943573,0.085507
12/10/15,4.61775,1.46636,28.773239,29.827919,13.664243,0.089619
12/11/15,4.58745,1.371756,28.501789,30.291788,13.498309,0.084664
12/14/15,4.448071,1.333915,28.307903,30.017321,13.463403,0.082555
12/15/15,4.472312,1.352835,28.114014,29.846886,13.568208,0.092782
12/16/15,4.442012,1.371756,28.569649,29.524994,13.760278,0.096789
12/17/15,4.551092,1.381217,28.356371,30.244465,13.734053,0.111761
12/18/15,4.332933,1.4569,27.532341,29.99835,13.227658,0.110706
12/21/15,4.254147,1.437979,27.745617,28.691999,12.84352,0.106489
12/22/15,4.272335,1.485281,28.415478,29.53224,13.1753,0.114713
12/23/15,4.242033,1.570424,28.231026,30.484888,13.43718,0.124413
12/28/15,4.229914,1.570424,27.803865,29.865726,13.271335,0.170804
12/29/15,4.229914,1.560964,28.211609,29.865726,13.140306,0.189255
12/30/15,4.169306,1.570424,29.308617,29.560776,13.253881,0.186092
1/4/16,3.999628,1.513662,28.46402,29.236927,12.922102,0.189255
1/5/16,4.066288,1.390677,28.46402,29.094048,13.096718,0.191153
1/6/16,4.102647,1.21093,28.056276,29.818005,12.96569,0.1746
1/7/16,4.042049,1.135247,27.444672,29.036871,12.441842,0.151404
1/8/16,4.042049,1.182548,27.541754,29.103592,12.406937,0.152036
1/11/16,3.993568,1.154167,27.434959,27.407795,12.450613,0.152036
1/12/16,3.94509,1.116326,28.056276,28.341452,12.284678,0.143391
1/13/16,3.957209,1.031182,27.425257,28.53196,12.441842,0.142442
1/14/16,3.975388,1.059563,27.289341,28.293821,12.415617,0.149611
1/15/16,3.908729,1.040643,26.211752,27.626936,12.363259,0.151826
1/18/16,3.89055,1.040643,26.134081,27.798458,12.136287,0.149717
