Date,^GSPC,^DJI,^IXIC,^BVSP
12/21/15,2021.150024,17128.55078,4968.919922,43200
12/22/15,2038.969971,17251.61914,5001.109863,43470
12/23/15,2064.290039,17417.26953,5045.930176,44015
12/24/15,2060.98999,17602.60938,5048.490234,43764
12/28/15,2056.5,17552.16992,5040.990234,43654
12/29/15,2078.360107,17528.26953,5107.939941,43350
12/30/15,2063.360107,17720.98047,5065.850098,42141
12/31/15,2043.939941,17603.86914,5007.410156,42419
1/4/16,2012.660034,17425.0293,4903.089844,41773
1/5/16,2016.709961,17148.93945,4891.430176,40695
1/6/16,1990.26001,17158.66016,4835.759766,40612
1/7/16,1943.089966,16906.50977,4689.430176,39950
1/8/16,1922.030029,16514.09961,4643.629883,39514
1/11/16,1923.670044,16346.4502,4637.990234,38944
1/12/16,1938.680054,16398.57031,4685.919922,39500
1/13/16,1890.280029,16516.2207,4526.060059,38569
1/14/16,1921.839966,16151.41016,4615,37937
1/15/16,1880.329956,16379.04981,4488.419922,38057
1/19/16,1881.329956,15988.08008,4476.950195,37645
1/20/16,1859.329956,16016.01953,4471.689941,37717
1/21/16,1868.98999,15766.74023,4472.060059,38031
1/22/16,1906.900024,15882.67969,4591.180176,37497
1/25/16,1877.079956,16093.50977,4518.490234,38376
1/26/16,1903.630005,15885.21973,4567.669922,38630
1/27/16,1882.949951,16167.23047,4468.169922,40406
1/28/16,1893.359985,15944.45996,4506.680176,40570
1/29/16,1940.23999,16069.63965,4613.950195,38596
2/1/16,1939.380005,16466.30078,4620.370117,39589
2/2/16,1903.030029,16449.17969,4516.950195,40822
2/3/16,1912.530029,16153.54004,4504.240234,40592
2/4/16,1915.449951,16336.66016,4509.560059,40377
2/5/16,1880.050049,16416.58008,4363.140137,39318
2/8/16,1853.439941,16204.96973,4283.75,39808
2/9/16,1852.209961,16027.04981,4268.759766,40093
2/10/16,1851.859985,16014.37988,4283.589844,40948
2/11/16,1829.079956,15914.74023,4266.839844,41631
2/12/16,1864.780029,15660.17969,4337.509766,41478
2/16/16,1895.579956,15973.83984,4435.959961,41543
2/17/16,1926.819946,16196.41016,4534.060059,43235
2/18/16,1917.829956,16453.83008,4487.540039,42521
2/19/16,1917.780029,16413.42969,4504.430176,42085
2/22/16,1945.5,16391.99023,4570.609863,41888
2/23/16,1921.27002,16620.66016,4503.580078,41593
2/24/16,1929.800049,16431.7793,4542.609863,42794
2/25/16,1951.699951,16484.99023,4582.200195,44122
2/26/16,1948.050049,16697.28906,4590.470215,44893
